4.2	35	
62.5	34	65.2	31	
53				
1.2	37.4	14.4	37.4	TRUE
16	37.3	14	31.7	FALSE
14	31.7	14	28.2	FALSE
14	28.2	14.8	26.1	FALSE
14.8	26.1	16.4	25	FALSE
16.4	25	18.2	24.8	FALSE
18.2	24.8	20.3	24.8	FALSE
20.3	24.8	21.7	25.4	FALSE
21.7	25.4	22.5	26.6	FALSE
22.5	26.6	22.5	27.6	FALSE
22.5	27.6	22	28.6	FALSE
22	28.6	20.9	29.3	FALSE
20.9	29.3	19.6	29.3	FALSE
19.6	29.3	18.9	28.8	FALSE
19.1	29.9	29.9	42.4	TRUE
29.9	42.4	32.8	43.9	TRUE
32.8	43.9	35.1	44.1	TRUE
35.1	44.1	36.3	44.1	TRUE
36.3	44.1	37.6	43.6	TRUE
37.6	43.6	38.4	42.9	TRUE
38.4	42.9	39.4	41.6	TRUE
42.1	40.2	43.5	37.3	TRUE
43.5	37.3	43.7	35.7	TRUE
43.7	35.7	43.5	34.4	TRUE
43.5	34.4	42.6	33.5	TRUE
42.6	33.5	41.1	33	TRUE
41	33	39.8	33	TRUE
39.8	33	38.2	33.5	TRUE
38.2	33.5	37.6	34.4	TRUE
37.6	34.4	37.2	36	TRUE
37.2	36	37.3	37.5	TRUE
37.3	37.5	37.8	39.4	TRUE
37.8	39.4	38.2	39.9	TRUE
38.2	39.9	38.8	40.3	TRUE
40.1	42	46.3	45.3	TRUE
46.3	45.3	49.2	45.9	TRUE
49.2	45.9	52.1	45.9	TRUE
52.1	45.9	59.1	45.9	FALSE
59.1	45.9	59.1	42.6	FALSE
59.1	42.6	59.1	41.1	TRUE
59.1	41.1	59.1	37.9	FALSE
59.1	37.9	59.1	37.3	TRUE
59.1	37.3	59.1	34	FALSE
59.1	34	64.7	34	FALSE
57.4	32.1	57.4	34.5	FALSE
58.8	34	59.1	34.2	TRUE
57.4	34.6	57.4	36.2	TRUE
57.4	36.2	57.4	38.8	FALSE
57.4	38.8	57.4	39.3	TRUE
57.4	39.3	57.4	43.7	FALSE
57.4	43.7	57.4	44.3	TRUE
57.4	44.3	56.3	44.3	TRUE
56.3	44.3	54.2	41.3	TRUE
0
